Date,IBX
2011-05-13,20723.61
2011-05-16,20667.54
2011-05-17,20856.42
2011-05-18,20632.3
2011-05-19,20538.55
2011-05-20,20602.47
2011-05-23,20505.25
2011-05-24,20782.35
2011-05-25,20761.27
2011-05-26,21007.92
2011-05-27,21064.46
2011-05-30,20942.31
2011-05-31,21071.64
2011-06-01,20793.0
2011-06-02,20953.11
2011-06-03,20957.44
2011-06-06,20614.47
2011-06-07,20669.14
2011-06-08,20628.61
2011-06-09,20717.76
2011-06-10,20523.49
2011-06-13,20328.95
2011-06-14,20465.84
2011-06-15,20340.82
2011-06-16,20177.7
2011-06-17,20177.15
2011-06-20,20223.75
2011-06-21,20322.88
2011-06-22,20304.13
2011-06-24,20244.73
2011-06-27,20287.08
2011-06-28,20627.74
2011-06-29,20660.36
2011-06-30,20745.41
2011-07-01,21007.38
2011-07-04,21129.28
2011-07-05,20932.5
2011-07-06,20789.05
2011-07-07,20670.78
2011-07-08,20439.11
2011-07-11,20060.05
2011-07-12,19894.8
2011-07-13,20190.25
2011-07-14,19889.55
2011-07-15,19807.83
2011-07-18,19635.44
2011-07-19,19709.53
2011-07-20,19715.25
2011-07-21,20015.29
2011-07-22,20023.09
2011-07-25,19952.8
2011-07-26,19842.24
2011-07-27,19548.18
2011-07-28,19670.23
2011-07-29,19705.01
2011-08-01,19656.06
2011-08-02,19216.84
2011-08-03,18822.28
2011-08-04,17868.5
2011-08-05,17863.43
2011-08-08,16453.08
2011-08-09,17201.78
2011-08-10,17282.56
2011-08-11,17854.79
2011-08-12,17906.45
2011-08-15,18298.49
2011-08-16,18211.62
2011-08-17,18447.16
2011-08-18,17871.2
2011-08-19,17580.29
2011-08-22,17532.37
2011-08-23,17927.64
2011-08-24,17933.79
2011-08-25,17742.66
2011-08-26,17852.48
2011-08-29,18329.26
2011-08-30,18486.04
2011-08-31,18884.47
2011-09-01,19381.84
2011-09-02,18936.79
2011-09-05,18457.19
2011-09-06,18903.86
2011-09-08,19210.02
2011-09-09,18699.72
2011-09-12,18668.56
2011-09-13,18642.52
2011-09-14,18866.88
2011-09-15,18945.69
2011-09-16,19178.9
2011-09-19,19212.63
2011-09-20,19097.26
2011-09-21,18995.11
2011-09-22,18139.21
2011-09-23,18021.06
2011-09-26,18202.91
2011-09-27,18323.41
2011-09-28,18173.01
2011-09-29,18228.49
2011-09-30,18025.46
2011-10-03,17580.62
2011-10-04,17478.75
2011-10-05,17570.8
2011-10-06,17929.15
2011-10-07,17598.68
2011-10-10,18191.08
2011-10-11,18323.77
2011-10-13,18570.69
2011-10-14,18688.1
2011-10-17,18428.68
2011-10-18,18701.81
2011-10-19,18660.05
2011-10-20,18389.71
2011-10-21,18754.14
2011-10-24,19194.98
2011-10-25,19035.89
2011-10-26,19268.99
2011-10-27,19776.86
2011-10-28,19860.55
2011-10-31,19618.15
2011-11-01,19359.22
2011-11-03,19677.42
2011-11-04,19809.38
2011-11-07,19997.32
2011-11-08,19909.64
2011-11-09,19500.87
2011-11-10,19397.64
2011-11-11,19733.89
2011-11-14,19720.3
2011-11-16,19858.69
2011-11-17,19347.59
2011-11-18,19252.4
2011-11-21,19121.63
2011-11-22,19009.36
2011-11-23,18749.0
2011-11-24,18848.01
2011-11-25,18689.88
2011-11-28,19017.84
2011-11-29,18832.45
2011-11-30,19410.83
